"";"genes"
"Inpp5k";"Inpp5k"
"Myo1c";"Myo1c"
"Crk";"Crk"
"Ywhae";"Ywhae"
"Rph3al";"Rph3al"
"Rflnb";"Rflnb"
"Vps53";"Vps53"
"Glod4";"Glod4"
"Fam57a";"Fam57a"
"Gemin4";"Gemin4"
"Mrm3";"Mrm3"
"Nxn";"Nxn"
"Timm22";"Timm22"
"Abr";"Abr"
"Bhlha9";"Bhlha9"
"Gosr1";"Gosr1"
"Cpd";"Cpd"
"Blmh";"Blmh"
"Nsrp1";"Nsrp1"
"Efcab5";"Efcab5"
"Ssh2";"Ssh2"
"Coro6";"Coro6"
"Ankrd13b";"Ankrd13b"
"Git1";"Git1"
"Trp53i13";"Trp53i13"
"Abhd15";"Abhd15"
"Gm10392";"Gm10392"
"Taok1";"Taok1"
"Nufip2";"Nufip2"
"Cryba1";"Cryba1"
"Myo18a";"Myo18a"
"Gm10277";"Gm10277"
"Phf12";"Phf12"
"Dhrs13os";"Dhrs13os"
"Dhrs13";"Dhrs13"
"Flot2";"Flot2"
"Eral1";"Eral1"
"Fam222b";"Fam222b"
"Traf4";"Traf4"
"Nek8";"Nek8"
"Tlcd1";"Tlcd1"
"Rpl23a";"Rpl23a"
"Rab34";"Rab34"
"Proca1";"Proca1"
"Supt6";"Supt6"
"Sdf2";"Sdf2"
"2610507B11Rik";"2610507B11Rik"
"Rskr";"Rskr"
"Spag5";"Spag5"
"Aldoc";"Aldoc"
"Pigs";"Pigs"
"Unc119";"Unc119"
"Slc13a2";"Slc13a2"
"Slc46a1";"Slc46a1"
"Sarm1";"Sarm1"
"Vtn";"Vtn"
"Tmem199";"Tmem199"
"Poldip2";"Poldip2"
"Tnfaip1";"Tnfaip1"
"Ift20";"Ift20"
"Tmem97";"Tmem97"
"Nlk";"Nlk"
"Ccnq";"Ccnq"
"Lyrm9";"Lyrm9"
"Lgals9";"Lgals9"
"Ksr1";"Ksr1"
"Gm11201";"Gm11201"
"Wsb1";"Wsb1"
"Nf1";"Nf1"
"AU040972";"AU040972"
"Omg";"Omg"
"Evi2";"Evi2"
"Evi2b";"Evi2b"
"Evi2a";"Evi2a"
"Rab11fip4";"Rab11fip4"
"Rab11fip4os1";"Rab11fip4os1"
"Gm11205";"Gm11205"
"Utp6";"Utp6"
"Suz12";"Suz12"
"Crlf3";"Crlf3"
"Atad5";"Atad5"
"Tefm";"Tefm"
"Adap2";"Adap2"
"Adap2os";"Adap2os"
"Rnf135";"Rnf135"
"Rhot1";"Rhot1"
"Rhbdl3";"Rhbdl3"
"5730455P16Rik";"5730455P16Rik"
"Zfp207";"Zfp207"
"Psmd11";"Psmd11"
"Cdk5r1";"Cdk5r1"
"Myo1d";"Myo1d"
"C030013C21Rik";"C030013C21Rik"
"Tmem98";"Tmem98"
"Asic2";"Asic2"
"Gm31522";"Gm31522"
"Gm17268";"Gm17268"
"Ccl2";"Ccl2"
"Ccl7";"Ccl7"
"Ccl12";"Ccl12"
"Ccl8";"Ccl8"
"Cct6b";"Cct6b"
"Zfp830";"Zfp830"
"Gm11423";"Gm11423"
"Lig3";"Lig3"
"Rffl";"Rffl"
"Rad51d";"Rad51d"
"Fndc8";"Fndc8"
"Nle1";"Nle1"
"Slfn5os";"Slfn5os"
"Slfn5";"Slfn5"
"Slfn9";"Slfn9"
"Slfn8";"Slfn8"
"Slfn2";"Slfn2"
"Gm20234";"Gm20234"
"Slfn1";"Slfn1"
"Slfn3";"Slfn3"
"AI662270";"AI662270"
"AA465934";"AA465934"
"Pex12";"Pex12"
"Ap2b1";"Ap2b1"
"1700020L24Rik";"1700020L24Rik"
"Mmp28";"Mmp28"
"Taf15";"Taf15"
"Heatr9";"Heatr9"
"Ccl5";"Ccl5"
"Ccl9";"Ccl9"
"E230016K23Rik";"E230016K23Rik"
"Ccl6";"Ccl6"
"Ccl3";"Ccl3"
"Ccl4";"Ccl4"
"Wfdc17";"Wfdc17"
"Wfdc18";"Wfdc18"
"Heatr6";"Heatr6"
"Ddx52";"Ddx52"
"Synrg";"Synrg"
"Tada2a";"Tada2a"
"Acaca";"Acaca"
"Gm11437";"Gm11437"
"Aatf";"Aatf"
"Mrm1";"Mrm1"
"Dhrs11";"Dhrs11"
"4930502E09Rik";"4930502E09Rik"
"Ggnbp2";"Ggnbp2"
"Pigw";"Pigw"
"Myo19";"Myo19"
"Znhit3";"Znhit3"
"Usp32";"Usp32"
"Appbp2";"Appbp2"
"Appbp2os";"Appbp2os"
"Ppm1d";"Ppm1d"
"Bcas3";"Bcas3"
"Bcas3os1";"Bcas3os1"
"Bcas3os2";"Bcas3os2"
"2610027K06Rik";"2610027K06Rik"
"Tbx2";"Tbx2"
"Brip1";"Brip1"
"Brip1os";"Brip1os"
"Ints2";"Ints2"
"Med13";"Med13"
"Rnft1";"Rnft1"
"Rps6kb1";"Rps6kb1"
"Tubd1";"Tubd1"
"Vmp1";"Vmp1"
"Ptrh2";"Ptrh2"
"Cltc";"Cltc"
"Dhx40";"Dhx40"
"Ypel2";"Ypel2"
"Gdpd1";"Gdpd1"
"Smg8";"Smg8"
"Prr11";"Prr11"
"Ska2";"Ska2"
"Gm11491";"Gm11491"
"Trim37";"Trim37"
"Ppm1e";"Ppm1e"
"Rad51c";"Rad51c"
"Tex14";"Tex14"
"Sept4";"Sept4"
"Mtmr4";"Mtmr4"
"Hsf5";"Hsf5"
"Rnf43";"Rnf43"
"Supt4a";"Supt4a"
"Mir142hg";"Mir142hg"
"Tspoap1";"Tspoap1"
"Mks1";"Mks1"
"Dynll2";"Dynll2"
"Gm11508";"Gm11508"
"Srsf1";"Srsf1"
"Gm15892";"Gm15892"
"Vezf1";"Vezf1"
"Cuedc1";"Cuedc1"
"Mrps23";"Mrps23"
"Msi2";"Msi2"
"Gm15893";"Gm15893"
"C030037D09Rik";"C030037D09Rik"
"Akap1";"Akap1"
"4930556N13Rik";"4930556N13Rik"
"Scpep1os";"Scpep1os"
"Scpep1";"Scpep1"
"Coil";"Coil"
"Trim25";"Trim25"
"Dgke";"Dgke"
"Gm525";"Gm525"
"Ankfn1";"Ankfn1"
"Pctp";"Pctp"
"Tmem100";"Tmem100"
"Gm45716";"Gm45716"
"Mmd";"Mmd"
"Hlf";"Hlf"
"Stxbp4";"Stxbp4"
"Cox11";"Cox11"
"Tom1l1";"Tom1l1"
"4930405D11Rik";"4930405D11Rik"
"Car10";"Car10"
"Utp18";"Utp18"
"Mbtd1";"Mbtd1"
"Nme2";"Nme2"
"Nme1";"Nme1"
"Spag9";"Spag9"
"B230206L02Rik";"B230206L02Rik"
"Tob1";"Tob1"
"Gm21885";"Gm21885"
"Luc7l3";"Luc7l3"
"Ankrd40";"Ankrd40"
"Abcc3";"Abcc3"
"Epn3";"Epn3"
"Mycbpap";"Mycbpap"
"Rsad1";"Rsad1"
"Acsf2";"Acsf2"
"Chad";"Chad"
"Lrrc59";"Lrrc59"
"Eme1";"Eme1"
"Mrpl27";"Mrpl27"
"Xylt2";"Xylt2"
"Gm11542";"Gm11542"
"Ppp1r9b";"Ppp1r9b"
"Samd14";"Samd14"
"Pdk2";"Pdk2"
"Itga3";"Itga3"
"Tac4";"Tac4"
"Kat7";"Kat7"
"Gm11520";"Gm11520"
"Fam117a";"Fam117a"
"Gm29477";"Gm29477"
"Slc35b1";"Slc35b1"
"Spop";"Spop"
"Phb";"Phb"
"Gm9796";"Gm9796"
"Zfp652os";"Zfp652os"
"Zfp652";"Zfp652"
"Abi3";"Abi3"
"Gngt2";"Gngt2"
"Gm11527";"Gm11527"
"4833417C18Rik";"4833417C18Rik"
"B4galnt2";"B4galnt2"
"Gm11534";"Gm11534"
"Snf8";"Snf8"
"Ube2z";"Ube2z"
"Atp5g1";"Atp5g1"
"Hoxb7";"Hoxb7"
"Hoxb4";"Hoxb4"
"Hoxb3";"Hoxb3"
"Skap1";"Skap1"
"Snx11";"Snx11"
"Cbx1";"Cbx1"
"Nfe2l1";"Nfe2l1"
"Copz2";"Copz2"
"Gm11523";"Gm11523"
"Cdk5rap3";"Cdk5rap3"
"D030028A08Rik";"D030028A08Rik"
"Pnpo";"Pnpo"
"Sp2";"Sp2"
"Sp6";"Sp6"
"Gm11532";"Gm11532"
"Scrn2";"Scrn2"
"Mrpl10";"Mrpl10"
"Gm11574";"Gm11574"
"Osbpl7";"Osbpl7"
"Tbx21";"Tbx21"
"Tbkbp1";"Tbkbp1"
"Kpnb1";"Kpnb1"
"Gm11583";"Gm11583"
"Npepps";"Npepps"
"Gm11592";"Gm11592"
"Mrpl45";"Mrpl45"
"Gpr179";"Gpr179"
"Socs7";"Socs7"
"Arhgap23";"Arhgap23"
"Srcin1";"Srcin1"
"2410003L11Rik";"2410003L11Rik"
"Epop";"Epop"
"Gm11613";"Gm11613"
"Mllt6";"Mllt6"
"Cisd3";"Cisd3"
"Pcgf2";"Pcgf2"
"Psmb3";"Psmb3"
"Pip4k2b";"Pip4k2b"
"Gm11614";"Gm11614"
"Cwc25";"Cwc25"
"1700001P01Rik";"1700001P01Rik"
"Rpl23";"Rpl23"
"Lasp1";"Lasp1"
"B230217C12Rik";"B230217C12Rik"
"Fbxo47";"Fbxo47"
"Gm11630";"Gm11630"
"Plxdc1";"Plxdc1"
"Arl5c";"Arl5c"
"Cacnb1";"Cacnb1"
"Gm11629";"Gm11629"
"Rpl19";"Rpl19"
"Stac2";"Stac2"
"Fbxl20";"Fbxl20"
"Med1";"Med1"
"Cdk12";"Cdk12"
"Ppp1r1b";"Ppp1r1b"
"Stard3";"Stard3"
"Tcap";"Tcap"
"Pnmt";"Pnmt"
"Pgap3";"Pgap3"
"Mien1";"Mien1"
"Ikzf3";"Ikzf3"
"Ormdl3";"Ormdl3"
"Psmd3";"Psmd3"
"Med24";"Med24"
"Thra";"Thra"
"Nr1d1";"Nr1d1"
"Msl1";"Msl1"
"Gm12359";"Gm12359"
"Casc3";"Casc3"
"Rapgefl1";"Rapgefl1"
"Wipf2";"Wipf2"
"Cdc6";"Cdc6"
"Rara";"Rara"
"Top2a";"Top2a"
"Igfbp4";"Igfbp4"
"Tns4";"Tns4"
"Smarce1";"Smarce1"
"Krt222";"Krt222"
"Krt28";"Krt28"
"Krt10";"Krt10"
"Gm11940";"Gm11940"
"Eif1";"Eif1"
"Hap1";"Hap1"
"Jup";"Jup"
"P3h4";"P3h4"
"Fkbp10";"Fkbp10"
"Nt5c3b";"Nt5c3b"
"Klhl10";"Klhl10"
"Klhl11";"Klhl11"
"Acly";"Acly"
"Ttc25";"Ttc25"
"Cnp";"Cnp"
"Dnajc7";"Dnajc7"
"Nkiras2";"Nkiras2"
"Zfp385c";"Zfp385c"
"Dhx58os";"Dhx58os"
"Dhx58";"Dhx58"
"Kat2a";"Kat2a"
"Hspb9";"Hspb9"
"Rab5c";"Rab5c"
"Kcnh4";"Kcnh4"
"Ghdc";"Ghdc"
"Stat5b";"Stat5b"
"Stat5a";"Stat5a"
"Stat3";"Stat3"
"Cavin1";"Cavin1"
"Atp6v0a1";"Atp6v0a1"
"Naglu";"Naglu"
"Hsd17b1";"Hsd17b1"
"Coasy";"Coasy"
"Mlx";"Mlx"
"Psmc3ip";"Psmc3ip"
"Retreg3";"Retreg3"
"Tubg1";"Tubg1"
"Tubg2";"Tubg2"
"Plekhh3";"Plekhh3"
"Cntnap1";"Cntnap1"
"Ccr10";"Ccr10"
"Ezh1";"Ezh1"
"Ramp2";"Ramp2"
"Vps25";"Vps25"
"Wnk4";"Wnk4"
"Coa3";"Coa3"
"Cntd1";"Cntd1"
"Becn1";"Becn1"
"Psme3";"Psme3"
"Aoc2";"Aoc2"
"Gm28156";"Gm28156"
"Aarsd1";"Aarsd1"
"Ptges3l";"Ptges3l"
"Rundc1";"Rundc1"
"Rpl27";"Rpl27"
"Ifi35";"Ifi35"
"Vat1";"Vat1"
"Rnd2";"Rnd2"
"Brca1";"Brca1"
"Nbr1";"Nbr1"
"Tmem106a";"Tmem106a"
"Gm11634";"Gm11634"
"Rdm1";"Rdm1"
"Arl4d";"Arl4d"
"Dhx8";"Dhx8"
"Etv4";"Etv4"
"Meox1";"Meox1"
"Sost";"Sost"
"Gm20659";"Gm20659"
"Dusp3";"Dusp3"
"Cd300lg";"Cd300lg"
"Mpp2";"Mpp2"
"Tmem101";"Tmem101"
"Lsm12";"Lsm12"
"G6pc3";"G6pc3"
"Hdac5";"Hdac5"
"BC030867";"BC030867"
"Tmub2";"Tmub2"
"Atxn7l3";"Atxn7l3"
"Ubtf";"Ubtf"
"Rundc3a";"Rundc3a"
"Slc25a39";"Slc25a39"
"Grn";"Grn"
"Fam171a2";"Fam171a2"
"Itga2b";"Itga2b"
"Gpatch8";"Gpatch8"
"Ccdc43";"Ccdc43"
"Gjc1";"Gjc1"
"Eftud2";"Eftud2"
"Gfap";"Gfap"
"Kif18b";"Kif18b"
"C1ql1";"C1ql1"
"Dcakd";"Dcakd"
"Nmt1";"Nmt1"
"Plcd3";"Plcd3"
"Acbd4";"Acbd4"
"Hexim1";"Hexim1"
"Hexim2";"Hexim2"
"Fmnl1";"Fmnl1"
"Gm20511";"Gm20511"
"1700023F06Rik";"1700023F06Rik"
"Spata32";"Spata32"
"Map3k14";"Map3k14"
"1700028N14Rik";"1700028N14Rik"
"Arhgap27";"Arhgap27"
"Arhgap27os3";"Arhgap27os3"
"Arhgap27os2";"Arhgap27os2"
"Arhgap27os1";"Arhgap27os1"
"Plekhm1";"Plekhm1"
"Gm39397";"Gm39397"
"Gosr2";"Gosr2"
"C130046K22Rik";"C130046K22Rik"
"Nsf";"Nsf"
"Arf2";"Arf2"
"Mapt";"Mapt"
"Kansl1";"Kansl1"
"Cdc27";"Cdc27"
"Myl4";"Myl4"
"Gm11665";"Gm11665"
"Gm22000";"Gm22000"
"Itgb3";"Itgb3"
"Gm11639";"Gm11639"
"Mettl2";"Mettl2"
"1700052K11Rik";"1700052K11Rik"
"Tlk2";"Tlk2"
"Mrc2";"Mrc2"
"March10";"March10"
"Gm11638";"Gm11638"
"Tanc2";"Tanc2"
"Cyb561";"Cyb561"
"Ace";"Ace"
"Kcnh6";"Kcnh6"
"Dcaf7";"Dcaf7"
"Gm11646";"Gm11646"
"Taco1os";"Taco1os"
"Taco1";"Taco1"
"Map3k3";"Map3k3"
"Gm11672";"Gm11672"
"Limd2";"Limd2"
"Strada";"Strada"
"Ccdc47";"Ccdc47"
"Ddx42";"Ddx42"
"Ftsj3";"Ftsj3"
"Psmc5";"Psmc5"
"Smarcd2";"Smarcd2"
"Cd79b";"Cd79b"
"Icam2";"Icam2"
"Ern1";"Ern1"
"Tex2";"Tex2"
"Pecam1";"Pecam1"
"Milr1";"Milr1"
"Polg2";"Polg2"
"Ddx5";"Ddx5"
"Cep95";"Cep95"
"Smurf2";"Smurf2"
"Gm11707";"Gm11707"
"Kpna2";"Kpna2"
"1810010H24Rik";"1810010H24Rik"
"Bptf";"Bptf"
"Gm11715";"Gm11715"
"Nol11";"Nol11"
"Pitpnc1";"Pitpnc1"
"Gm11716";"Gm11716"
"Gm11712";"Gm11712"
"Gm11713";"Gm11713"
"Gm11714";"Gm11714"
"Psmd12";"Psmd12"
"Helz";"Helz"
"Prkca";"Prkca"
"Gm11655";"Gm11655"
"Apoh";"Apoh"
"Cep112";"Cep112"
"Cep112os1";"Cep112os1"
"Cep112it";"Cep112it"
"Axin2";"Axin2"
"Rgs9";"Rgs9"
"1700096J18Rik";"1700096J18Rik"
"Gm11696";"Gm11696"
"Gna13";"Gna13"
"9930022D16Rik";"9930022D16Rik"
"Amz2";"Amz2"
"Slc16a6";"Slc16a6"
"Arsg";"Arsg"
"Wipi1";"Wipi1"
"Gm11685";"Gm11685"
"Prkar1a";"Prkar1a"
"Fam20a";"Fam20a"
"Abca8b";"Abca8b"
"Abca8a";"Abca8a"
"Abca9";"Abca9"
"Abca6";"Abca6"
"Abca5";"Abca5"
"Map2k6";"Map2k6"
"Kcnj16";"Kcnj16"
"Kcnj2";"Kcnj2"
"Sox9";"Sox9"
"2610035D17Rik";"2610035D17Rik"
"Slc39a11";"Slc39a11"
"Sstr2";"Sstr2"
"Cog1";"Cog1"
"Fam104a";"Fam104a"
"D11Wsu47e";"D11Wsu47e"
"Cpsf4l";"Cpsf4l"
"Cdc42ep4";"Cdc42ep4"
"Sdk2";"Sdk2"
"Rpl38";"Rpl38"
"Ttyh2";"Ttyh2"
"Dnaic2";"Dnaic2"
"Kif19a";"Kif19a"
"Btbd17";"Btbd17"
"Gprc5c";"Gprc5c"
"Cd300a";"Cd300a"
"Cd300lb";"Cd300lb"
"Cd300c";"Cd300c"
"Cd300ld";"Cd300ld"
"Cd300c2";"Cd300c2"
"Cd300ld3";"Cd300ld3"
"Cd300e";"Cd300e"
"Rab37";"Rab37"
"Cd300lf";"Cd300lf"
"Slc9a3r1";"Slc9a3r1"
"Nat9";"Nat9"
"Tmem104";"Tmem104"
"Grin2c";"Grin2c"
"Fdxr";"Fdxr"
"Fads6";"Fads6"
"Hid1";"Hid1"
"Cdr2l";"Cdr2l"
"Mrpl58";"Mrpl58"
"Ict1os";"Ict1os"
"Atp5h";"Atp5h"
"Kctd2";"Kctd2"
"Armc7";"Armc7"
"Nt5c";"Nt5c"
"Jpt1";"Jpt1"
"Sumo2";"Sumo2"
"Nup85";"Nup85"
"Gga3";"Gga3"
"Mrps7";"Mrps7"
"Mif4gd";"Mif4gd"
"Slc25a19";"Slc25a19"
"Grb2";"Grb2"
"Tmem94";"Tmem94"
"Caskin2";"Caskin2"
"Tsen54";"Tsen54"
"Llgl2";"Llgl2"
"Myo15b";"Myo15b"
"Recql5";"Recql5"
"Smim5";"Smim5"
"Smim6";"Smim6"
"Recql5os1";"Recql5os1"
"Sap30bp";"Sap30bp"
"Sap30bpos";"Sap30bpos"
"Itgb4";"Itgb4"
"Galk1";"Galk1"
"H3f3b";"H3f3b"
"Unk";"Unk"
"Unc13d";"Unc13d"
"Wbp2";"Wbp2"
"Trim47";"Trim47"
"Trim65";"Trim65"
"Mrpl38";"Mrpl38"
"Fbf1";"Fbf1"
"Acox1";"Acox1"
"Ten1";"Ten1"
"Srp68";"Srp68"
"Exoc7";"Exoc7"
"Rnf157";"Rnf157"
"Ubald2";"Ubald2"
"Qrich2";"Qrich2"
"Gm11739";"Gm11739"
"Prpsap1";"Prpsap1"
"Ube2o";"Ube2o"
"Aanat";"Aanat"
"Rhbdf2";"Rhbdf2"
"Prcd";"Prcd"
"Snhg16";"Snhg16"
"St6galnac2";"St6galnac2"
"Mxra7";"Mxra7"
"Jmjd6";"Jmjd6"
"Mettl23";"Mettl23"
"Srsf2";"Srsf2"
"Mfsd11";"Mfsd11"
"Snhg20";"Snhg20"
"Sec14l1";"Sec14l1"
"Sept9";"Sept9"
"Gm16045";"Gm16045"
"Tnrc6c";"Tnrc6c"
"Tmc6";"Tmc6"
"Tmc8";"Tmc8"
"6030468B19Rik";"6030468B19Rik"
"Syngr2";"Syngr2"
"Tk1";"Tk1"
"Afmid";"Afmid"
"Birc5";"Birc5"
"Tha1";"Tha1"
"Gm11725";"Gm11725"
"Socs3";"Socs3"
"Pgs1";"Pgs1"
"Dnah17";"Dnah17"
"Cyth1";"Cyth1"
"Usp36";"Usp36"
"Timp2";"Timp2"
"Cep295nl";"Cep295nl"
"Lgals3bp";"Lgals3bp"
"Cant1";"Cant1"
"C1qtnf1";"C1qtnf1"
"Gm11747";"Gm11747"
"Engase";"Engase"
"Rbfox3";"Rbfox3"
"Cbx2";"Cbx2"
"Cbx8";"Cbx8"
"Cbx4";"Cbx4"
"Gm11755";"Gm11755"
"Tbc1d16";"Tbc1d16"
"Gm11753";"Gm11753"
"Gm11752";"Gm11752"
"Ccdc40";"Ccdc40"
"Gaa";"Gaa"
"Eif4a3";"Eif4a3"
"Sgsh";"Sgsh"
"Slc26a11";"Slc26a11"
"Rnf213";"Rnf213"
"A930037H05Rik";"A930037H05Rik"
"Endov";"Endov"
"Rptor";"Rptor"
"Rptoros";"Rptoros"
"Chmp6";"Chmp6"
"Gm11767";"Gm11767"
"Baiap2";"Baiap2"
"Aatk";"Aatk"
"Cep131";"Cep131"
"Tepsin";"Tepsin"
"Ndufaf8";"Ndufaf8"
"Slc38a10";"Slc38a10"
"Gm11769";"Gm11769"
"2810410L24Rik";"2810410L24Rik"
"2900052L18Rik";"2900052L18Rik"
"Bahcc1";"Bahcc1"
"Gm11772";"Gm11772"
"Actg1";"Actg1"
"0610009L18Rik";"0610009L18Rik"
"Faap100";"Faap100"
"Nploc4";"Nploc4"
"Pde6g";"Pde6g"
"Oxld1";"Oxld1"
"Ccdc137";"Ccdc137"
"Arl16";"Arl16"
"Hgs";"Hgs"
"Mrpl12";"Mrpl12"
"Slc25a10";"Slc25a10"
"Mcrip1";"Mcrip1"
"P4hb";"P4hb"
"Arhgdia";"Arhgdia"
"Alyref";"Alyref"
"Anapc11";"Anapc11"
"Npb";"Npb"
"Pcyt2";"Pcyt2"
"Sirt7";"Sirt7"
"Mafg";"Mafg"
"Pycr1";"Pycr1"
"Myadml2";"Myadml2"
"Myadml2os";"Myadml2os"
"Notum";"Notum"
"Aspscr1";"Aspscr1"
"Gm17178";"Gm17178"
"Cenpx";"Cenpx"
"Lrrc45";"Lrrc45"
"Rac3";"Rac3"
"Dcxr";"Dcxr"
"Cbr2";"Cbr2"
"Hmga1b";"Hmga1b"
"Rfng";"Rfng"
"Gps1";"Gps1"
"Dus1l";"Dus1l"
"Fasn";"Fasn"
"Ccdc57";"Ccdc57"
"Gm11773";"Gm11773"
"Slc16a3";"Slc16a3"
"Csnk1d";"Csnk1d"
"Gm28192";"Gm28192"
"Ogfod3";"Ogfod3"
"Hexdc";"Hexdc"
"Cybc1";"Cybc1"
"Narf";"Narf"
"Foxk2";"Foxk2"
"Wdr45b";"Wdr45b"
"Rab40b";"Rab40b"
"Fn3krp";"Fn3krp"
"Fn3k";"Fn3k"
"Tbcd";"Tbcd"
"Zfp750";"Zfp750"
"B3gntl1";"B3gntl1"
"Metrnl";"Metrnl"
"Rab10os";"Rab10os"
"Rab10";"Rab10"
"Gm26520";"Gm26520"
"Kif3c";"Kif3c"
"Gm48512";"Gm48512"
"1110002L01Rik";"1110002L01Rik"
"Asxl2";"Asxl2"
"Dtnb";"Dtnb"
"Dtnbos";"Dtnbos"
"Dnmt3a";"Dnmt3a"
"Dnmt3aos";"Dnmt3aos"
"Pomc";"Pomc"
"Efr3b";"Efr3b"
"Gm48001";"Gm48001"
"Dnajc27";"Dnajc27"
"Adcy3";"Adcy3"
"Cenpo";"Cenpo"
"Ptrhd1";"Ptrhd1"
"Ncoa1";"Ncoa1"
"2900045O20Rik";"2900045O20Rik"
"Gm46332";"Gm46332"
"Gm48610";"Gm48610"
"AC241534.1";"AC241534.1"
"Itsn2";"Itsn2"
"Gm48678";"Gm48678"
"Fam228a";"Fam228a"
"Fam228b";"Fam228b"
"Pfn4";"Pfn4"
"Sf3b6";"Sf3b6"
"Fkbp1b";"Fkbp1b"
"Wdcp";"Wdcp"
"Mfsd2b";"Mfsd2b"
"Ubxn2a";"Ubxn2a"
"Atad2b";"Atad2b"
"Klhl29";"Klhl29"
"Gm48619";"Gm48619"
"Gm32828";"Gm32828"
"Gm48633";"Gm48633"
"Apob";"Apob"
"Gm33037";"Gm33037"
"Ldah";"Ldah"
"Hs1bp3";"Hs1bp3"
"Gm48071";"Gm48071"
"Rhob";"Rhob"
"5033421B08Rik";"5033421B08Rik"
"Slc7a15";"Slc7a15"
"Pum2";"Pum2"
"Laptm4a";"Laptm4a"
"Wdr35";"Wdr35"
"Ttc32";"Ttc32"
"Gm46323";"Gm46323"
"Rdh14";"Rdh14"
"Kcns3";"Kcns3"
"Gen1";"Gen1"
"Smc6";"Smc6"
"Vsnl1";"Vsnl1"
"Gm47808";"Gm47808"
"Fam49a";"Fam49a"
"4921511I17Rik";"4921511I17Rik"
"Gm40271";"Gm40271"
"Ddx1";"Ddx1"
"Nbas";"Nbas"
"Lratd1";"Lratd1"
"Lpin1";"Lpin1"
"Ntsr2";"Ntsr2"
"Greb1";"Greb1"
"E2f6";"E2f6"
"Rock2";"Rock2"
"Pqlc3";"Pqlc3"
"Pdia6";"Pdia6"
"Atp6v1c2";"Atp6v1c2"
"Gm46336";"Gm46336"
"Nol10";"Nol10"
"Gm36752";"Gm36752"
"Odc1";"Odc1"
"Hpcal1";"Hpcal1"
"5730507C01Rik";"5730507C01Rik"
"Gm49957";"Gm49957"
"Gm5784";"Gm5784"
"Gm49692";"Gm49692"
"Gm48693";"Gm48693"
"Gm49700";"Gm49700"
"Asap2";"Asap2"
"Gm30124";"Gm30124"
"Itgb1bp1";"Itgb1bp1"
"Gm20535";"Gm20535"
"Cpsf3";"Cpsf3"
"Iah1";"Iah1"
"Adam17";"Adam17"
"Gm49586";"Gm49586"
"Ywhaq";"Ywhaq"
"Gm4419";"Gm4419"
"Gm4425";"Gm4425"
"9030624G23Rik";"9030624G23Rik"
"Taf1b";"Taf1b"
"Grhl1";"Grhl1"
"Klf11";"Klf11"
"Rrm2";"Rrm2"
"Mboat2";"Mboat2"
"Kidins220";"Kidins220"
"Id2";"Id2"
"Gm36287";"Gm36287"
"Gm36723";"Gm36723"
"Rnf144a";"Rnf144a"
"Rsad2";"Rsad2"
"Cmpk2";"Cmpk2"
"Sox11";"Sox11"
"Dcdc2c";"Dcdc2c"
"Colec11";"Colec11"
"Rps7";"Rps7"
"Rnaseh1";"Rnaseh1"
"Adi1";"Adi1"
"Trappc12";"Trappc12"
"Eipr1";"Eipr1"
"Gm31508";"Gm31508"
"Gm31333";"Gm31333"
"Myt1l";"Myt1l"
"Tpo";"Tpo"
"Sntg2";"Sntg2"
"Tmem18";"Tmem18"
"Alkal2";"Alkal2"
"Acp1";"Acp1"
"Sh3yl1";"Sh3yl1"
"Lamb1";"Lamb1"
"Dld";"Dld"
"Slc26a3";"Slc26a3"
"Cbll1";"Cbll1"
"Gm29542";"Gm29542"
"Bcap29";"Bcap29"
"Dus4l";"Dus4l"
"Cog5";"Cog5"
"Gpr22";"Gpr22"
"Gm48809";"Gm48809"
"Hbp1";"Hbp1"
"Prkar2b";"Prkar2b"
"Pik3cg";"Pik3cg"
"Ccdc71l";"Ccdc71l"
"Gm40375";"Gm40375"
"Nampt";"Nampt"
"4933406C10Rik";"4933406C10Rik"
"Sypl";"Sypl"
"Cdhr3";"Cdhr3"
"F730043M19Rik";"F730043M19Rik"
"Gm16267";"Gm16267"
"Atxn7l1";"Atxn7l1"
"Atxn7l1os1";"Atxn7l1os1"
"Atxn7l1os2";"Atxn7l1os2"
"Twistnb";"Twistnb"
"Hdac9";"Hdac9"
"Gm47357";"Gm47357"
"Prps1l1";"Prps1l1"
"Snx13";"Snx13"
"Ahr";"Ahr"
"Tspan13";"Tspan13"
"Bzw2";"Bzw2"
"Ankmy2";"Ankmy2"
"D630036H23Rik";"D630036H23Rik"
"Crppa";"Crppa"
"Meox2";"Meox2"
"Agmo";"Agmo"
"Gm34408";"Gm34408"
"Dgkb";"Dgkb"
"Etv1";"Etv1"
"Arl4a";"Arl4a"
"Lsmem1";"Lsmem1"
"Gm17056";"Gm17056"
"Ifrd1";"Ifrd1"
"Gm17024";"Gm17024"
"Gm7008";"Gm7008"
"Zfp277";"Zfp277"
"Dock4";"Dock4"
"Immp2l";"Immp2l"
"Gm47375";"Gm47375"
"Gm47376";"Gm47376"
"Gm47373";"Gm47373"
"Gm47368";"Gm47368"
"Lrrn3";"Lrrn3"
"Gm47371";"Gm47371"
"Gm46348";"Gm46348"
"Dnajb9";"Dnajb9"
"Gm47096";"Gm47096"
"Pnpla8";"Pnpla8"
"Nrcam";"Nrcam"
"Stxbp6";"Stxbp6"
"Gm15902";"Gm15902"
"Gm48522";"Gm48522"
