"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"Rcan3";799,946097592627;-0,107624009271497;0,108726166198484;0,00842559003506492;0,454178157118715
"Asb8";344,745105007443;-0,0294184966447618;0,0533392428069229;0,00845333968975906;0,454178157118715
"Tlr8";85,3394756194987;0,0122614789905056;0,034788800294377;0,00853616452648017;0,456541312796512
"Ccng2";2222,13202729639;-0,108934131597334;0,179809405415265;0,00862103284147028;0,456541312796512
"Atad2b";1376,73000100302;0,115330775801014;0,202846517406464;0,00864195895440886;0,456541312796512
"Sh3pxd2a";2118,27451461662;0,115596433590256;0,139314286242289;0,00863186936147998;0,456541312796512
"Mlph";2682,01169258138;-0,0297102219743958;0,0539083715845412;0,00884741409451339;0,459089382811949
"Ppp1r12b";562,240435400839;0,107949693462045;0,175732634797077;0,00914728349655012;0,459089382811949
"Echdc3";16,8840191055857;-0,00381708662942659;0,0317835746144518;0,00886591295681383;0,459089382811949
"Fnbp1";4170,7839937002;0,10887725406906;0,121543044818132;0,00892431924425969;0,459089382811949
"Clstn1";4386,94974524463;-0,081738774755446;0,0571943177346039;0,00914209357018463;0,459089382811949
"Zfp644";1619,1195301583;0,113142168397692;0,15984608410884;0,00916288012582062;0,459089382811949
"Nfatc2ip";188,080055912376;-0,0255601119252769;0,0472842793934512;0,00884539434087439;0,459089382811949
"Dnah12";20,1186848119585;-0,00480106112231857;0,0319665623974313;0,00906080615782055;0,459089382811949
"Phxr4";127,141757467867;0,0103114708057561;0,0337876907437241;0,00908812183207534;0,459089382811949
"Tgfbi";1124,28947809167;0,0290363872379605;0,0526475030622115;0,00903182923335451;0,459089382811949
"Rsph3b";102,969023537498;0,0166855233186416;0,0377252898752507;0,00887033572674419;0,459089382811949
"Ndufaf7";437,014641463419;-0,0502482913092176;0,125186282364627;0,00916202773897162;0,459089382811949
"Zdhhc16";441,9482792412;-0,102298475839854;0,236357944014118;0,0091381419971386;0,459089382811949
"Samhd1";2073,6089209456;0,0987143256179149;0,0895455419005374;0,00923072646777693;0,460660681352377
"Zfhx2";538,946208569844;0,105486364765068;0,1238577185437;0,00935997475118797;0,463447220425487
